reaction_id,reaction_type,ligand_gold,base_gold,solvent_gold,ligand_topk,base_topk,solvent_topk,ligand_hit,base_hit,solvent_hit
31-367-CAS-23042848,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23043310,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23044787,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23044991,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23045015,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23045625,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23045691,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23045819,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23046042,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23046121,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23182426,Other,[],,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23230949,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23231473,Other,[],,Dimethylacetamide|127-19-5,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23309934,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
